Name,Symbol,ISIN,Index,Last Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
AZRIELI GROUP,AZRG,IL0011194789,"TA-35, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Family, TA-Investment Properties in Israel, TA-125 Fossil Free",24530,-0.89,23642.76,16:59
B COMMUNICATION,BCOM,IL0011076630,"TA-90, TA-125, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free",1382,-2.54,626.63,16:59
BAIT BAKFAR,BKFR,IL0011836561,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties in Israel",1015,0.1,8.28,13:41
BAIT VEGAG GL,BVGG,IL0011853624,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon, TA-Construction",800,1.24,8.26,14:43
BARAN,BRAN,IL0002860133,"TA-Growth, TA-AllShare",900,-0.43,2.77,11:48
BAREKET,BRKT,IL0011782765,,157.7,1.41,38.17,16:57
BATM,BVC,IL0010849045,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Dual listing",95.1,-1.25,44.53,16:36
BAZAN,ORL,IL0025902482,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities",120.8,-1.55,5139.23,16:59
BEEIO HONEY,BHNY,IL0010823461,,91.6,-4.28,111.66,16:57
BET SHEMESH,BSEN,IL0010815616,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",12070,0.67,1314.65,16:59
BEYON 3D,BYON,IL0011755613,,22.4,-2.18,41.56,16:08
BEZEQ,BEZQ,IL0002300114,"TA-35, TA-125, TA-Maala Index, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA Sector-Balance, TA-125 Fossil Free",490.3,-1.11,23990.04,16:59
BIG,BIG,IL0010972607,"TA-35, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Family, TA-Investment Properties in Israel, TA-125 Fossil Free",38560,-1.68,27670.94,16:59
BIG-TECH 50 PU,BIGT,IL0011722951,,162.2,-2.17,13.11,15:01
BIKUREY HASHDE,BKRY,IL0011726184,"TA-Growth, TA-AllShare",250,3.01,14.51,16:38
BIO VIEW,BIOV,IL0010960495,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",32.9,,1.64,13:48
BIOLIGHT,BOLT,IL0010952237,,558.2,3.1,1.45,10:53
BIOLINE RX,BLRX,IL0011015182,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-Dual listing",37.5,-4.09,418.47,16:58
BIOMEAT FOOD PU,BIMT,IL0011739054,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite",57.1,-2.23,52,16:56
BIRMAN,BIRM,IL0005300145,"TA-Growth, TA-AllShare, TA-Industrials",1180,2.25,1.98,16:33
BLADE RANGER,BLRN,IL0011705139,,135.4,3.04,1.1,13:38
BLENDER,BLND,IL0011720971,,460,0.17,53.08,14:03
BLITZ,BLTZ,IL0004240102,,735,-4.67,8.66,16:08
BLUE SQ REAL ES,BLSR,IL0010985658,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties in Israel, TA-125 Fossil Free",25900,-1.89,2640.48,16:57
BONEI TICHON,BOTI,IL0005310128,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon, TA-Family, TA-Construction",3065,1.59,90.38,16:42
BONUS BIOGROUP,BONS,IL0004850116,,16.6,-2.35,187.33,16:58
BRACK CAPIT N V,BCNV,NL0009690619,,26880,4.88,5.84,15:37
BRAINSWAY,BWAY,IL0011007189,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-Dual listing",1261,-0.55,1831.62,16:59
BRAM INDUS,BRAM,IL0010945157,,147.6,,,
BRAND,BRND,IL0005360115,"TA-Growth, TA-AllShare, TA-Industrials",256.8,,94.51,15:28
BRILL,BRIL,IL0003990145,"TA-Growth, TA-AllShare, TA-Retail",962,-0.85,43.32,14:15
BRIMAG,BRMG,IL0010942832,"TA-Growth, TA-AllShare",1280,0.79,29.36,15:58
BUBBLES,BBLS,IL0011051393,,29.7,,5.94,10:41
BUFF TECH',BUFT,IL0011790438,,1276,,,
BULIGO,BLGO,IL0011805954,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Investment Properties Abroad",789.6,,,
BULL TRADING,BULL,IL0011766354,,15,-6.83,77.11,16:51
C I SYSTEMS,CISY,IL0004420126,,1448,,,
CAMTEK,CAMT,IL0010952641,"TA-35, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials, TA-125 Fossil Free, TA-Dual listing",24630,0.86,12410.92,16:59
CAN FITE BIO,CANF,IL0010944739,,2.7,,85.47,16:44
CANADA GLOBAL,CNGL,IL0001060131,,266,0.87,2.29,15:02
CANNABOTECH,CNTC,IL0011769085,,525,1.61,116.08,16:15
CANNASSURE-M,CSURE-M,IL0001110134,,43,-9.47,,
CANZON,CNZN,IL0010960073,,160.6,,,
CAPITAL POINT,CPTP,IL0010971468,,65.5,,,
CARASSO MOTORS,CRSM,IL0011238503,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-125 Fossil Free",1624,0.37,1314.28,16:59
CARASSO REAL ES,CRSR,IL0011879629,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Construction, TA-125 Fossil Free",2838,-1.8,1144,16:57
CARMEL CORP,CRML,IL0011476855,"TA-Growth, TA-AllShare, TA-Rimon, TA-Industrials",2099,3.71,25.63,16:01
CARMIT,CRMT,IL0004400169,,990,0.02,34.65,11:10
CASTRO,CAST,IL0002800162,"TA-Growth, TA-AllShare, TA-Retail",4101,-0.89,26.74,16:31
CELLCOM,CEL,IL0011015349,"TA-90, TA-125, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free",1558,-2.38,2375.07,16:59
CION,CION,US17259U2042,,3539,,,
CIPIA VISION,CPIA,IL0011819328,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite",60.2,-5.2,301.05,16:53
CITRUS PLANT 5,CTPL5,IL0007160356,,101300,,,
CITRUS PLANT1,CTPL1,IL0007160190,,35260,,,
C-LAB,CLAB,IL0011403008,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",1367,1.18,7.54,15:45
CLAL BIOTECH,CBI,IL0011042806,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare",42.1,2.18,82.31,16:52
CLAL INSURANCE,CLIS,IL0002240146,"TA-90, TA-125, TA-Finance Index, TA-Maala Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free, TA-Insurance",6037,-1.6,3192.28,16:59
COFIX GROUP,CFX,IL0003890154,"TA-Growth, TA-AllShare, TA-Retail",319.2,1.01,120.64,16:52
COHEN DEV,CDEV,IL0008100104,"TA-SME60, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150",11420,-1.21,59.19,16:48
COMPUGEN,CGEN,IL0010852080,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-Dual listing",726.9,0.26,822.12,16:59
COMPUTER DIRECT,CMDR,IL0005070128,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150",25390,-0.86,2.27,15:10
CONTINUAL,CNTL,IL0011822603,,66.1,,,
CREATIVE MEDIA,CMCT,US1255255846,TA-Investment Properties Abroad,1410,,,
DAN   HOTELS,DANH,IL0008220159,,2299,3.51,0.02,10:15
DANEL,DANE,IL0003140139,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free",32390,1.73,1825.26,16:59
DANYA CEBUS,DNYA,IL0011731374,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Construction, TA-125 Fossil Free",10270,-1.63,794.05,16:57
DELEK AUTOMOTIV,DLEA,IL0008290103,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free",2343,-2.9,2017.82,16:59
DELEK GROUP,DLEKG,IL0010841281,"TA-35, TA-125, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA Sector-Balance",47920,-2,15153.96,16:59
DELTA BRANDS,DLTI,IL0011736993,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Retail",4251,-1.87,2055.65,15:10
DELTA GALIL,DELG,IL0006270347,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials, TA-125 Fossil Free",16720,-1.07,2034.67,16:58
DIMRI,DIMRI,IL0010903156,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Construction, TA-125 Fossil Free",26520,-6.36,18197.3,16:59
DIPLOMAT HOLDI.,DIPL,IL0011734915,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Family",3100,-1.46,105.36,16:58
DIRECT FINANCE,DIFI,IL0011681868,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free",47840,4.43,11861.1,16:57
DISCOUNT,DSCT,IL0006912120,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, TA-Banks5, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-125 Fossil Free",1832,-2.14,45113.02,16:59
DISCOUNT INV,DISI,IL0006390137,"TA-Growth, TA-AllShare, TA-Rimon",396,-1.91,406.81,16:29
DM3,DM3,IL0011775181,,151.6,-2.38,9.58,15:06
DNA GROUP,DNA,IL0011038523,"TA-Growth, TA-AllShare",69.5,3.73,441.6,16:50
DOR ALON,DRAL,IL0010932023,"TA-Growth, TA-AllShare, TA-Rimon, TA-Energy Utilities",7566,0.37,564.46,16:39
DORAL ENERGY,DORL,IL0011667685,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Energy Utilities, TA-Cleantech, TA-125 Fossil Free",860,-3.04,1559.16,16:59
DORSEL HOLD,DRSH,IL0011906281,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon, TA-Investment Properties in Israel",1210,-1.55,19.95,16:54
DUNIEC,DUNI,IL0004000100,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA-Construction, TA-125 Fossil Free",19430,-3.48,537.19,16:57
E&M,EMCO,IL0003820102,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon",680,-0.25,111.51,15:09
ECONERGY,ECNR,IL0011783342,"TA-SME60, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Energy Utilities, TA-Cleantech",1546,-5.62,387.99,15:08
ECOPPIA,ECPA,IL0011698953,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",180.2,4.65,0.64,13:15
EL AL,ELAL,IL0010878242,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",363.7,-2.75,4889.02,16:55
ELBIT IMAGING-M,EMITF-M,IL0010811169,,440,,0.3,10:15
ELBIT MEDITEC-M,EMTC-M,IL0004740150,,33,10,0.68,10:15
ELBIT SYSTEMS,ESLT,IL0010811243,"TA-35, TA-125, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials, TA-125 Fossil Free, TA-Dual listing",76670,-1.86,36819.59,16:59
ELCO,ELCO,IL0006940345,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-Family",12340,-1.28,2836.69,16:59
ELDAV-M,ELDAV-M,IL0010836588,,209,2.45,17.79,10:15
ELECTRA,ELTR,IL0007390375,"TA-35, TA-125, TA-AllShare, TA-Rimon, TA-125 Fossil Free",148650,-3.77,6603.98,16:59
ELECTRA CO  PR,ECP,IL0050101299,"TA-90, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free, TA-Retail",7500,-2.99,885.5,16:57
ELECTRA POWER,ELCP,IL0011669178,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Energy Utilities",2550,-1.77,4.02,13:26
ELECTRA REAL E.,ELCRE,IL0010940448,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Investment Properties Abroad, TA-125 Fossil Free",4213,-1.79,2008.4,16:57
ELECTREON,ELWS,IL0003680191,"TA-SME60, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Energy Utilities, TA-Cleantech",8480,0.37,6877.15,16:59
ELLOMAY,ELLO,IL0010826357,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Energy Utilities, TA-Cleantech, TA-Dual listing",5878,-1.33,130.99,16:38
ELMOR,ELMR,IL0011424541,"TA-Growth, TA-AllShare, TA-Industrials",1002,-2.53,6.02,15:49
ELRON,ELRN,IL0007490779,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon",644.6,1.35,166.44,16:49
ELSPEC,ELSPC,IL0010903644,"TA-Growth, TA-AllShare, TA-Industrials",595,-1.93,39.86,16:36
EMILIA DEVEL,EMDV,IL0005890103,"TA-Growth, TA-AllShare",2277,-1.56,8.94,16:33
ENDYMED,ENDY,IL0011010217,,323.1,,0,10:15
ENERGEAN,ENOG,GB00BG12Y042,"TA-35, TA-125, TA-Maala Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA Sector-Balance, TA-Dual listing",4745,-2.14,6006.59,16:59
ENERGIX,ENRG,IL0011233553,"TA-35, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials, TA-Energy Utilities, TA-Cleantech, TA-125 Fossil Free",1343,-1.83,10377.52,16:59
ENLIGHT ENERGY,ENLT,IL0007200111,"TA-35, TA-125, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials, TA-Energy Utilities, TA-Cleantech, TA-125 Fossil Free, TA-Dual listing",6720,-4.4,20496.18,16:59
ENLIVEX,ENLV,IL0011319527,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Dual listing",1329,18.13,1667.18,16:59
ENVIZION,ENVM,IL0011758195,,326.8,-2.01,5.21,10:30
EPITOMEE MED,EPIT,IL0011825911,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",360.4,-1.88,319.03,16:57
EQUITAL,EQTL,IL0007550176,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",11390,-1.39,767.51,16:58
ERECH FINANCE,EFNC,IL0011201618,,485,,1.97,13:59
ERIKA B-CURE,BCUR,IL0011789125,,31.1,2.64,5.47,16:59
ETGA GROUP,ETGA,IL0011761140,"TA-Growth, TA-AllShare",1270,-4.08,9.71,13:55
EVOGENE,EVGN,IL0011050551,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Dual listing",331,6.67,883.94,16:59
EXPORT INV,EXPO,IL0007040152,"TA-Growth, TA-AllShare",4215,0.12,2.02,10:49
FATTAL HOLD,FTAL,IL0011434292,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-125 Fossil Free",41300,-0.6,2746.2,16:56
FEAT INV PU,FEAT,IL0011731788,,150.9,,,
FIBI BANK,FIBI,IL0005930388,"TA-35, TA-125, TA-Finance Index, TA-Banks5, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-125 Fossil Free",14620,-2.53,19549.2,16:59
FIBI HOLDINGS,FIBIH,IL0007630119,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free",15590,-2.38,2174.38,16:58
FIRE AND GAS,FGAS,IL0011653073,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",799.8,0.16,30.24,14:37
FLYING SPARK,FLYS,IL0011735821,,133.5,0.3,0.51,16:52
FMS,FBRT,IL0003150104,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials, TA-Family",12300,-1.28,192.97,16:54
FORESIGHT,FRSX,IL0001990188,,13.3,-0.75,209.14,16:58
FORMULA,FORTY,IL0002560162,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-125 Fossil Free, TA-Dual listing",23730,-1.94,1681.64,16:59
FOX,FOX,IL0010870223,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-125 Fossil Free, TA-Retail",24310,-2.8,2436.04,16:56
FRIDENSON,FRDN,IL0011022196,"TA-Growth, TA-AllShare",6000,4.62,3,10:29
G 1 SECU,GOSS,IL0011562803,"TA-Maala Index, TA-Growth, TA-AllShare",420,0.21,45.08,14:57
G CITY,GCT,IL0001260111,"TA-90, TA-125, TA-RealEstate, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Family, TA-Investment Properties Abroad, TA-125 Fossil Free",1310,0.15,4346.86,16:59
G.F.C-M,GFC-M,IL0011226888,,1127,,,
